    N           Naive           Spline-4         Spline-8        Spline-12        Spline-16        Spline-20    
   1000         0.1008           0.0049           0.0163           0.0447           0.0985           0.1842     
   8000         5.1025           0.0339           0.1202           0.3314           0.7274           1.3626     
  27000        55.0910           0.1130           0.4018           1.1153           2.4669           4.6210     
  64000        302.3034          0.2675           0.9514           2.6362           5.8028          10.8760     
  125000      1137.7931          0.5142           1.8427           5.0977          11.2653          21.6745     
  216000      3359.3976          0.8882           3.1883           8.8521          19.5175          36.9939     
  343000      8415.8922          1.4064           5.0710          14.0388          31.5833          58.5416     
  512000      18642.0699         2.1209           7.5626          21.3720          46.5960          87.4144     
  729000      37671.5986         3.2527          10.7759          29.8126          66.1158          125.0489    
 1000000      70184.3811         4.2237          14.8169          40.9395          90.5014          170.2039
